"State","Item","Model","MAE","RMSE","Type"
"Minnesota","Dairy","ARIMA",0.207725258263706,0.351831264273158,"Food"
"Minnesota","Dairy","ETS",0.210100181625181,0.35177137399014,"Food"
"Minnesota","Seafood","ARIMA",0.117838541666666,0.262698337769135,"Food"
"Minnesota","Seafood","ETS",0.117701906810053,0.262711393664628,"Food"
"Minnesota","Fruits","ARIMA",0.186631944444522,0.30547663122115,"Food"
"Minnesota","Fruits","ETS",0.169418396970514,0.305822834712029,"Food"
"Minnesota","Mixed","ARIMA",0.0958651851230476,0.219099982183506,"Food"
"Minnesota","Mixed","ETS",0.0988602149977151,0.222206163236217,"Food"
"Minnesota","Pasta","ARIMA",0.0998513337104835,0.24997996498087,"Food"
"Minnesota","Pasta","ETS",0.111097668276224,0.243760345573464,"Food"
"Minnesota","Salads","ARIMA",0.138820856381171,0.295157214786161,"Food"
"Minnesota","Salads","ETS",0.139379101710999,0.294986681382797,"Food"
"Minnesota","Potatoes","ARIMA",0.117838541666667,0.262698337769135,"Food"
"Minnesota","Potatoes","ETS",0.117783608828752,0.262711452822242,"Food"
"Minnesota","Eggs","ARIMA",0.0407986111111441,0.142826137508355,"Food"
"Minnesota","Eggs","ETS",0.0408459552622248,0.142833255437138,"Food"
"Minnesota","Beverages","ARIMA",0.0307617187499612,0.124019592706153,"Food"
"Minnesota","Beverages","ETS",0.0307687474707904,0.124025789566204,"Food"
"Nebraska","Meat","ARIMA",0.0407026154728091,0.142797934033366,"Food"
"Nebraska","Meat","ETS",0.0396507833309884,0.140060515905889,"Food"
"Nebraska","Pastries","ARIMA",0.0104166666666667,0.102062072615966,"Food"
"Nebraska","Pastries","ETS",0.0206545028462869,0.10153416553242,"Food"
"Nebraska","Fish","ARIMA",0.00520833333333333,0.0721687836487032,"Food"
"Nebraska","Fish","ETS",0.0108881849763958,0.0719862086999039,"Food"
"Nebraska","Vegetables","ARIMA",0.00520833333333333,0.0721687836487032,"Food"
"Nebraska","Vegetables","ETS",0.0104057883760087,0.0719841794499166,"Food"
"Nebraska","Potatoes","ARIMA",0.00520833333333333,0.0721687836487032,"Food"
"Nebraska","Potatoes","ETS",0.0103901429582183,0.0719841866917701,"Food"
"Arkansas","Meat","ARIMA",0.152777777777463,0.276385399196283,"Food"
"Arkansas","Meat","ETS",0.15289534895755,0.276399187242605,"Food"
"Arkansas","Pastries","ARIMA",0.00520833333333333,0.0721687836487032,"Food"
"Arkansas","Pastries","ETS",0.0103695497559708,0.0719841921368048,"Food"
"Arkansas","Fish","ARIMA",0.00520833333333333,0.0721687836487032,"Food"
"Arkansas","Fish","ETS",0.0103891274463467,0.0719841870948714,"Food"
"Arkansas","Vegetables","ARIMA",0.0104166666666667,0.102062072615966,"Food"
"Arkansas","Vegetables","ETS",0.020652630002187,0.101534160857734,"Food"
"Illinois","Meat","ARIMA",0.334321322149272,0.48618765545149,"Food"
"Illinois","Meat","ETS",0.371997599322959,0.50482100360138,"Food"
"Illinois","Pastries","ARIMA",0.213339155713305,0.406233304932225,"Food"
"Illinois","Pastries","ETS",0.217269229658693,0.409827222859019,"Food"
"Illinois","Fish","ARIMA",0.123489466562744,0.263136997929029,"Food"
"Illinois","Fish","ETS",0.131522188310239,0.263018738772848,"Food"
"Illinois","Vegetables","ARIMA",0.135199652777743,0.259999666132264,"Food"
"Illinois","Vegetables","ETS",0.13522132723361,0.260012659127492,"Food"
"Illinois","Dairy","ARIMA",0.0104166666666667,0.102062072615966,"Food"
"Illinois","Dairy","ETS",0.020653474381176,0.101534176439586,"Food"
"Illinois","Seafood","ARIMA",0.0104166666666667,0.102062072615966,"Food"
"Illinois","Seafood","ETS",0.0205934273254746,0.101534175348694,"Food"
"Illinois","Fruits","ARIMA",0.0706380208332273,0.21341459633904,"Food"
"Illinois","Fruits","ETS",0.0707806966333942,0.213425295696971,"Food"
"Illinois","Mixed","ARIMA",0.0306897642800126,0.124007271634273,"Food"
"Illinois","Mixed","ETS",0.0316384009517652,0.12402883467036,"Food"
"Illinois","Pasta","ARIMA",0.0307617187499653,0.124019592706153,"Food"
"Illinois","Pasta","ETS",0.0307232990473644,0.124025780306412,"Food"
"Illinois","Salads","ARIMA",0.0407986111111109,0.142826137508355,"Food"
"Illinois","Salads","ETS",0.0410600598030827,0.142833569245854,"Food"
"Illinois","Potatoes","ARIMA",0.0104166666666667,0.102062072615966,"Food"
"Illinois","Potatoes","ETS",0.0206375120236129,0.10153417567535,"Food"
"Illinois","Eggs","ARIMA",0.00520833333333333,0.0721687836487032,"Food"
"Illinois","Eggs","ETS",0.0103715895013733,0.0719841919628976,"Food"
"Illinois","Beverages","ARIMA",0.0307617187499999,0.124019592706153,"Food"
"Illinois","Beverages","ETS",0.0308148549429695,0.124025763229258,"Food"
"New Mexico","Meat","ARIMA",0.0407026154729996,0.142797934033366,"Food"
"New Mexico","Meat","ETS",0.0408506535140443,0.142833238665477,"Food"
"New Mexico","Pastries","ARIMA",0.0104166666666667,0.102062072615966,"Food"
"New Mexico","Pastries","ETS",0.0206315154260093,0.101534177599187,"Food"
"New Mexico","Dairy","ARIMA",0.0103451135755509,0.0719795113654389,"Food"
"New Mexico","Dairy","ETS",0.0104101291952521,0.0719841758623155,"Food"
"New Mexico","Fruits","ARIMA",0.0188170002878545,0.116771812681789,"Food"
"New Mexico","Fruits","ETS",0.0303128209905044,0.124026355666369,"Food"
"New Mexico","Pasta","ARIMA",0.00520833333333333,0.0721687836487032,"Food"
"New Mexico","Pasta","ETS",0.0103204165580178,0.0719841797597564,"Food"
"North Carolina","Meat","ARIMA",0.226223271001003,0.360101147975596,"Food"
